data_series,avg,std
sourcePort#DIFFERENCE#NO_LAYER@totalDestinationPackets#DIFFERENCE#NO_LAYER,0.9677743538698275,1.2018420761700406E-4
sourcePort#DIFFERENCE#NO_LAYER@totalSourcePackets#DIFFERENCE#NO_LAYER,0.9655204407945055,6.178020215045275E-4
sourcePort#DIFFERENCE#NO_LAYER@totalSourceBytes#DIFFERENCE#NO_LAYER,0.9373926702210175,0.001293944232033522
totalSourceBytes#PLAIN#NO_LAYER@sourcePort#PLAIN#NO_LAYER,0.9343742202321841,0.001131905284156506
totalSourceBytes#PLAIN#NO_LAYER@totalSourcePackets#PLAIN#NO_LAYER,0.9603419841052364,2.6869988756454845E-4
totalSourceBytes#PLAIN#NO_LAYER@totalDestinationPackets#PLAIN#NO_LAYER,0.9710487727898393,6.522834148401611E-4
totalDestinationPackets#DIFFERENCE#NO_LAYER@totalSourcePackets#DIFFERENCE#NO_LAYER,0.9695281854112707,3.747881328968734E-4
totalDestinationPackets#DIFFERENCE#NO_LAYER@totalSourceBytes#DIFFERENCE#NO_LAYER,0.971016160309279,6.493691963272975E-4
totalSourcePackets#DIFFERENCE#NO_LAYER@totalSourceBytes#DIFFERENCE#NO_LAYER,0.9627799042738365,2.197491907842023E-4
sourcePort#PLAIN#NO_LAYER@totalSourcePackets#PLAIN#NO_LAYER,0.9632269083533344,6.641890570837469E-4
sourcePort#PLAIN#NO_LAYER@totalDestinationPackets#PLAIN#NO_LAYER,0.9655029450476956,1.4176543864863653E-4
totalSourcePackets#PLAIN#NO_LAYER@totalDestinationPackets#PLAIN#NO_LAYER,0.9673988271426578,3.58101225133841E-4
sourcePort#DIFFERENCE#NO_LAYER@totalDestinationPackets#DIFFERENCE#NO_LAYER@totalSourcePackets#DIFFERENCE#NO_LAYER,0.9655204407945055,7.379862291215316E-4
sourcePort#DIFFERENCE#NO_LAYER@totalDestinationPackets#DIFFERENCE#NO_LAYER@totalSourceBytes#DIFFERENCE#NO_LAYER,0.9677743538698275,7.695534039443016E-4
sourcePort#DIFFERENCE#NO_LAYER@totalSourcePackets#DIFFERENCE#NO_LAYER@totalSourceBytes#DIFFERENCE#NO_LAYER,0.9627799042738365,8.375512122887299E-4
totalSourceBytes#PLAIN#NO_LAYER@totalSourcePackets#PLAIN#NO_LAYER@totalDestinationPackets#PLAIN#NO_LAYER,0.9603419841052364,9.209833024047096E-4
totalSourceBytes#PLAIN#NO_LAYER@totalSourcePackets#PLAIN#NO_LAYER@sourcePort#PLAIN#NO_LAYER,0.9603419841052364,9.328889446482953E-4
totalSourceBytes#PLAIN#NO_LAYER@totalDestinationPackets#PLAIN#NO_LAYER@sourcePort#PLAIN#NO_LAYER,0.9655029450476956,7.940488534887975E-4
totalDestinationPackets#DIFFERENCE#NO_LAYER@totalSourcePackets#DIFFERENCE#NO_LAYER@totalSourceBytes#DIFFERENCE#NO_LAYER,0.9695281854112707,0.0010241573292241709
sourcePort#PLAIN#NO_LAYER@totalSourcePackets#PLAIN#NO_LAYER@totalDestinationPackets#PLAIN#NO_LAYER,0.9632269083533344,8.059544957323835E-4
sourcePort#DIFFERENCE#NO_LAYER@totalDestinationPackets#DIFFERENCE#NO_LAYER@totalSourcePackets#DIFFERENCE#NO_LAYER@totalSourceBytes#DIFFERENCE#NO_LAYER,0.9655204407945055,0.0015075396330658333
totalSourceBytes#PLAIN#NO_LAYER@totalSourcePackets#PLAIN#NO_LAYER@totalDestinationPackets#PLAIN#NO_LAYER@sourcePort#PLAIN#NO_LAYER,0.9603419841052364,0.001853872247053005
